(.venv) PS C:\Users\gabriel\Desktop\internship> python main.py -q "agence developpement web et logiciels" -l "Bordeaux" --source maps,pj,google --verbose
16:17:13 | INFO     | core.orchestrator | Pipeline start — query='agence developpement web et logiciels' location='Bordeaux' limit=20 sources=['maps', 'pj', 'google']
16:17:13 | INFO     | core.orchestrator | Pipeline start — query='agence developpement web et logiciels' location='Bordeaux' limit=20 sources=['maps', 'pj', 'google']
16:17:13 | INFO     | core.orchestrator | [1/7] Running 3 source(s)…
16:17:13 | INFO     | core.orchestrator | [1/7] Running 3 source(s)…
16:17:13 | INFO     | scrapers.google_maps_scraper | Google Maps search: 'agence developpement web et logiciels Bordeaux' (limit=20)
16:17:13 | INFO     | scrapers.google_maps_scraper | Google Maps search: 'agence developpement web et logiciels Bordeaux' (limit=20)
16:17:15 | DEBUG    | scrapers.google_maps_scraper | Consent overlay dismissed
16:17:16 | DEBUG    | scrapers.google_maps_scraper |   Scroll 1/16: +8 new  (total 8/20)
16:17:18 | DEBUG    | scrapers.google_maps_scraper |   Scroll 2/16: +0 new  (total 8/20)
16:17:20 | DEBUG    | scrapers.google_maps_scraper |   Scroll 3/16: +8 new  (total 16/20)
16:17:22 | DEBUG    | scrapers.google_maps_scraper |   Scroll 4/16: +0 new  (total 16/20)
16:17:24 | DEBUG    | scrapers.google_maps_scraper |   Scroll 5/16: +6 new  (total 22/20)
16:17:24 | DEBUG    | scrapers.google_maps_scraper |   Limit reached — stopping scroll
16:17:24 | INFO     | scrapers.google_maps_scraper | Collected 22 place URLs; visiting each…
16:17:24 | INFO     | scrapers.google_maps_scraper | Collected 22 place URLs; visiting each…
16:17:24 | DEBUG    | scrapers.google_maps_scraper |   [1/20] https://www.google.com/maps/place/Omnium/data=!4m7!3m6!1s0xd55297d02c504d1:0xc5880745e0e5aa17!8m2!3d44.8599315!4d-0.5549599!16s%2Fg%2F11swk4jkhh!19sChIJ0QTFAn0pVQ0RF6rl4EUHiMU?authuser=0&hl=fr&rclk=1
16:17:29 | DEBUG    | scrapers.google_maps_scraper |   [2/20] https://www.google.com/maps/place/Kwantic/data=!4m7!3m6!1s0xd5527d9284bffff:0xede811348a3afa41!8m2!3d44.8393678!4d-0.585531!16s%2Fg%2F11hcw78f3g!19sChIJ__9LKNknVQ0RQfo6ijQR6O0?authuser=0&hl=fr&rclk=1
16:17:33 | DEBUG    | scrapers.google_maps_scraper |   [3/20] https://www.google.com/maps/place/Agence+Script+-+D%C3%A9veloppement+web/data=!4m7!3m6!1s0xd55278c765cad05:0xe891a8b0fcfe5ef8!8m2!3d44.8488305!4d-0.5709771!16s%2Fg%2F11ltpwv7xf!19sChIJBa1cdownVQ0R-F7-_LCokeg?authuser=0&hl=fr&rclk=1
16:17:36 | DEBUG    | scrapers.google_maps_scraper |   [4/20] https://www.google.com/maps/place/Dandi+cr%C3%A9ation+site+internet+Bordeaux/data=!4m7!3m6!1s0xd552700345a0751:0xcf53205f6ad7809d!8m2!3d44.8382507!4d-0.5693085!16s%2Fg%2F11wc1w9_5w!19sChIJUQdaNAAnVQ0RnYDXal8gU88?authuser=0&hl=fr&rclk=1
16:17:40 | DEBUG    | scrapers.google_maps_scraper |   [5/20] https://www.google.com/maps/place/Appalga/data=!4m7!3m6!1s0xd55262b5e6ae1ef:0xd901448a1a5ddee3!8m2!3d44.84308!4d-0.5775793!16s%2Fg%2F11c6w05mjh!19sChIJ7-FqXismVQ0R495dGopEAdk?authuser=0&hl=fr&rclk=1
16:17:44 | DEBUG    | scrapers.google_maps_scraper |   [6/20] https://www.google.com/maps/place/ORBITEO/data=!4m7!3m6!1s0xd5527ffbbc6843d:0x12fdd5e2e76f6114!8m2!3d44.8477076!4d-0.5741965!16s%2Fg%2F11b7ys_9dn!19sChIJPYTGu_8nVQ0RFGFv5-LV_RI?authuser=0&hl=fr&rclk=1
16:17:48 | DEBUG    | scrapers.google_maps_scraper |   [7/20] https://www.google.com/maps/place/Ethiko/data=!4m7!3m6!1s0xd552748b30a3325:0x1bf96c2b1461a682!8m2!3d44.8411375!4d-0.5861411!16s%2Fg%2F11l_c5cvh6!19sChIJJTMKs0gnVQ0RgqZhFCts-Rs?authuser=0&hl=fr&rclk=1
16:17:51 | DEBUG    | scrapers.google_maps_scraper |   [8/20] https://www.google.com/maps/place/id%C3%A9veloppement/data=!4m7!3m6!1s0xd5529bc67dcd417:0xb2b64f27b1a9bffb!8m2!3d44.8501361!4d-0.5745882!16s%2Fg%2F11hf1h68gb!19sChIJF9TcZ7wpVQ0R-7-psSdPtrI?authuser=0&hl=fr&rclk=1
