company_name,website,email,description,contact_page,address,sources,score
Dandi création site internet Bordeaux,https://www.dandi.fr/agences/agence-creation-site-bordeaux,contact@dandi.fr,"Découvrez notre agence de création de site web à Bordeaux. Dandi n'est pas une agence ordinaire, mais un véritable commercial disponible 24/7.",https://www.dandi.fr/contact,"6-3, Pl. du Palais, 33000 Bordeaux",['maps'],7
Omnium,https://omnium-digital.fr/,bonjour@omnium-digital.fr,Omnium vous aide à booster votre visibilité en ligne avec des solutions efficaces et personnalisées. De la création de site web au référencement SEO.,https://omnium-digital.fr/contact,"76 Quai de Bacalan, 33300 Bordeaux",['maps'],7
Natural-net,https://www.natural-net.fr/,contact@natural-net.fr,"Agence web à Bordeaux : Natural-net & agence de web marketing. Stratégie web marketing, création de sites web & référencement (SEO, SEA, GEO et LLM).",https://www.natural-net.fr/contact,"14 Rue Marceau, 33000 Bordeaux","['google', 'maps']",7
Agence GW - Agence web à Bordeaux labellisée NR,https://www.agence-gw.com/,contact@agence-gw.com,"Agence web à Bordeaux. ESN labellisée NR. Sites internet développés dans une démarche d'écoconception. Experts Adobe Commerce, Symfony, Prestashop et WordPress.",https://www.agence-gw.com/contact,"11 Allées de Chartres, 33000 Bordeaux","['google', 'maps']",7
Inflexsys - Entreprise de Services du Numérique,http://www.inflexsys.com/,contact@inflexsys.com,"Inflexsys est une entreprise de services du numérique experte en conception, réalisation et architecture de solutions IT professionnelles.",http://www.inflexsys.com/contact,"8 Av. de la Grande Semaine, 33700 Mérignac",['maps'],7
Appalga,https://www.appalga.com/,contact@appalga.com,"Agence web à Bordeaux spécialisée en création de site internet, référencement SEO et communication 360°. Devis gratuit et accompagnement sur-mesure.",https://www.appalga.com/contact,"Pl. des Grands Hommes, 33000 Bordeaux",['maps'],7
Snapp' - Expert en développement mobile et web,http://www.snapp.fr/,contact@snapp.fr,Snapp’ est spécialisé dans le développement de projets web et mobile sur mesure depuis plus de 15 ans. Nous vous conseillons pour une transformation numérique plus responsable.,http://www.snapp.fr/contact,"78 Rue Judaïque, 33000 Bordeaux",['maps'],7
Ethiko,https://ethiko.org/?utm_source=google_my_business&utm_medium=organic&utm_content=bouton_site_web,contact@ethiko.org,"Ethiko, agence web à Bordeaux spécialisée en éco-conception, création de site internet, UX UI design, e-commerce, application web, marketing digital.",https://ethiko.org/mentions-legales,"88 Rue Judaïque, 33000 Bordeaux","['maps', 'pj']",7
Cohérence - Agence Digitale | Bordeaux,https://www.coherence-communication.fr/,support@agence-coherence.fr,"Cohérence, votre agence digitale vous aide à améliorer votre visibilité en ligne et à développer votre activité. Création de sites, SEO...",https://www.coherence-communication.fr/contact,"9 Av. Raymond Manaud, 33520 Bruges",['maps'],7
Ideclap,https://ideclap.fr/,contact@ideclap.fr,"Agence web à Bordeaux experte dans la création de site internet éco-conçu, accessible et responsable pour TPE, indépendants et associations.",https://ideclap.fr/mentions-legales,"20 Rue Capdeville, 33000 Bordeaux","['google', 'maps']",7
HORIZON,https://www.hrz.fr/,contact@hrz.fr,"Horizon, agence de création de site internet depuis 2012. Sites sur mesure, optimisés SEO, conçus pour convertir. Toulouse, Bordeaux, Lyon, Montpellier.",https://www.hrz.fr/contact,"1 Pl. Ravezies, 33300 Bordeaux",['maps'],7
IMPAKTE Digital - Création de site internet,https://www.impakte-digital.com/,contact@impakte-digital.com,"IMPAKTE Digital est une agence de communication et webmarketing qui vous propose différents services dans le domaine du digital : création de site internet, référencement sur les moteurs de recherche, communication sur les réseaux sociaux. Une équipe réactive et de confiance à votre écoute pour…",https://www.impakte-digital.com/contact,"5 Rue Fénelon, 33000 Bordeaux",['maps'],7
Web Tribe Studio,https://webtribe-studio.com/,contact@webtribe-studio.com,"Agence web, de marketing et de communication, faites nous confiance pour de la création de site web, lancer votre startup ou votre transition numérique !",https://webtribe-studio.com/contact,"30 Pl. Pey Berland, 33000 Bordeaux",['maps'],7
Le Site Français,https://le-site-francais.fr/,bonjour@le-site-francais.fr,"Chez le Site Français, nous créons des Sites Internet pour les professionnels et nous le faisons bien ! Site dès 49€HT en location !",https://le-site-francais.fr/contact,"9 Rue Vauban, 33000 Bordeaux",['maps'],7
Bee l'Abeille du Marketing,https://abeille.marketing/,hello@abeille.marketing,15 ans d’expérience en marketing. Bee l’Abeille: conseil en stratégie marketing et mise en œuvre concrète à Bordeaux. Fidélisez et économisez en 2026 !,https://abeille.marketing/contact,Voir le plan,['pj'],7
Wowdesigns,https://wowdesigns.fr/,contact@wowdesigns.fr,"Agence Web à Bordeaux, Wowdesigns est spécialisée dans le Marketing digital. Nous intervenons dans le SEO, la création de sites web, la publicité en ligne.",https://wowdesigns.fr/contact,Voir le plan,['pj'],7
Mixy Design - Agence de communication,https://www.mixy-design.com/,info@mixy-design.com,"Agence de communication à Bordeaux : création de sites internet et sites marchands, brochures, plaquettes, logos, infographies, référencement SEO...",https://www.mixy-design.com/contact,Voir le plan,['pj'],7
