company_name,website,email,description,contact_page,address,sources,score
Le Site Français,https://le-site-francais.fr/,bonjour@le-site-francais.fr,"Chez le Site Français, nous créons des Sites Internet pour les professionnels et nous le faisons bien ! Site dès 49€HT en location !",https://le-site-francais.fr/contact,"9 Rue Vauban, 33000 Bordeaux",['maps'],7
Agence GW - Agence web à Bordeaux labellisée NR,https://www.agence-gw.com/,contact@agence-gw.com,"Agence web à Bordeaux. ESN labellisée NR. Sites internet développés dans une démarche d'écoconception. Experts Adobe Commerce, Symfony, Prestashop et WordPress.",https://www.agence-gw.com/contact,"11 Allées de Chartres, 33000 Bordeaux",['maps'],7
Samuel Dupe,http://webmaster-gironde.fr/,webmaster.gironde@gmail.com,Webmaster Bordeaux création de site internet en gironde. Site vitrine wordpress site e-commerce prestashop référencement naturel seo. développeur web,http://webmaster-gironde.fr/contact,"1 Rue Pétrus Rubens, 33150 Cenon",['maps'],7
Ethiko,https://ethiko.org/?utm_source=google_my_business&utm_medium=organic&utm_content=bouton_site_web,contact@ethiko.org,"Ethiko, agence web à Bordeaux spécialisée en éco-conception, création de site internet, UX UI design, e-commerce, application web, marketing digital.",https://ethiko.org/mentions-legales,"88 Rue Judaïque, 33000 Bordeaux",['maps'],7
Omnium,https://omnium-digital.fr/,bonjour@omnium-digital.fr,Omnium vous aide à booster votre visibilité en ligne avec des solutions efficaces et personnalisées. De la création de site web au référencement SEO.,https://omnium-digital.fr/contact,"76 Quai de Bacalan, 33300 Bordeaux",['maps'],7
Kwantic,https://kwantic.fr/,contact@kwantic.fr,"Kwantic, agence de développement web à Bordeaux, vous accompagne dans la réalisation de votre site internet, de la phase de conception à la restitution clé en main.",https://kwantic.fr/contact,"74 Rue Georges Bonnac, 33000 Bordeaux","['maps', 'pj']",7
Davelopweb - Agence digitale Web,https://davelopweb.fr/,contact@davelopweb.fr,"Notre agence digitale accompagne votre transformation numérique en garantissant votre souveraineté digitale avec Wordpress, Nextcloud et Yucca CRM",https://davelopweb.fr/mentions-legales,"161 Av. de l'Hippodrome, 33320 Eysines",['maps'],7
"Hello Pomelo - Solutions digitales sur‑mesure : web, apps, e‑commerce, ERP, DevOps",https://hello-pomelo.com/agence-de-developpement-web-a-bordeaux/,contact@hello-pomelo.com,Votre agence de développement web à Bordeaux Hello Pomelo vous accompagne dans vos projets de création d'application web et mobile,https://hello-pomelo.com/a-propos,"15 Rue du Muguet, 33000 Bordeaux",['maps'],7
Appalga,https://www.appalga.com/,contact@appalga.com,"Agence web à Bordeaux spécialisée en création de site internet, référencement SEO et communication 360°. Devis gratuit et accompagnement sur-mesure.",https://www.appalga.com/contact,"Pl. des Grands Hommes, 33000 Bordeaux",['maps'],7
Sodium Digital,https://sodium.digital/,gdardier@sodium.digital,"Agence Digitale Bordeaux - Développement de sites web & applications métiers, Communication Digitale & Social Média",https://sodium.digital/contact,"63 Rue Monsarrat, 33800 Bordeaux",['maps'],7
Agence Script - Développement web,https://www.agence-script.com/,contact@agence-script.com,"Agence digitale basée à Bordeaux et Paris. Nous développons vos sites web, applications et logiciels métiers sur-mesure avec Webflow, Bubble.io, Xano et Power Platform.",https://www.agence-script.com/contact,"1 Cr Xavier Arnozan, 33000 Bordeaux",['maps'],7
Dandi création site internet Bordeaux,https://www.dandi.fr/agences/agence-creation-site-bordeaux,contact@dandi.fr,"Découvrez notre agence de création de site web à Bordeaux. Dandi n'est pas une agence ordinaire, mais un véritable commercial disponible 24/7.",https://www.dandi.fr/contact,"6-3, Pl. du Palais, 33000 Bordeaux",['maps'],7
Webdevo,http://webdevo.fr/,contact@webdevo.fr,"Création de site internet à Bordeaux : sites rapides, design moderne et base SEO propre pour générer plus de demandes qualifiées.",http://webdevo.fr/mentions-legales,"16 Pl. des Quinconces, 33000 Bordeaux",['maps'],7
CréaSites Sud-Ouest,https://www.creation-sites-internet-bordeaux.fr/,contact@site-internet.org,"Création de site internet Bordeaux et référencement Google ☎ 05 57 41 42 84. Créasites Sud-Ouest, votre agence web pour site e-commerce, vitrine, mobile.",,"19 Rue du Paveil, 33000 Bordeaux",['maps'],6
idéveloppement,http://www.ideveloppement.fr/,,idéveloppement est une agence web spécialisée dans la création de solutions digitales : site internet et application métier.,http://www.ideveloppement.fr/mentions-legales,"88 Cr de Verdun, 33000 Bordeaux",['maps'],5
Miicom,https://www.miicom.fr/,,"Création de site internet à Bordeaux, développement d'applications en Gironde. E-commerce, SEO, référencement, marketing digital.",https://www.miicom.fr/contact,"51 Quai Lawton, 33300 Bordeaux",['maps'],5
Snowlab - Editeur de logiciel / Agence digitale,https://snowlab.fr/,,Snowlab votre partenaire de confiance et expert ServiceNow. En tant que partenaire ServiceNow nous vous accompagnons dans le développement et l'intégration de vos services et portail client ServiceNow.,https://snowlab.fr/contact,"195 Rue du Jardin public, 33300 Bordeaux",['maps'],5
ORBITEO,https://orbiteo.com/,,Vous cherchez LE partenaire pour faire décoller votre activité et réaliser votre transformation digitale ? Bienvenue chez ORBITEO !,https://orbiteo.com/contact,"9 Rue Vauban, 33000 Bordeaux",['maps'],5
