company_name,website,email,description,contact_page,address,sources,score
Wowdesigns,https://wowdesigns.fr/,contact@wowdesigns.fr,"Agence Web à Bordeaux, Wowdesigns est spécialisée dans le Marketing digital. Nous intervenons dans le SEO, la création de sites web, la publicité en ligne.",https://wowdesigns.fr/contact,Voir le plan,['pj'],7
Bee l'Abeille du Marketing,https://abeille.marketing/,hello@abeille.marketing,15 ans d’expérience en marketing. Bee l’Abeille: conseil en stratégie marketing et mise en œuvre concrète à Bordeaux. Fidélisez et économisez en 2026 !,https://abeille.marketing/contact,Voir le plan,['pj'],7
Mixy Design - Agence de communication,https://www.mixy-design.com/,info@mixy-design.com,"Agence de communication à Bordeaux : création de sites internet et sites marchands, brochures, plaquettes, logos, infographies, référencement SEO...",https://www.mixy-design.com/contact,Voir le plan,['pj'],7
Agence Cybèle,https://agencecybele.fr/,contact@agencecybele.fr,Agence Cybèle | Agence Web Bordeaux pour artisans et commerçants. Optimisés pour Google et maintenance incluse dès 990€.,https://agencecybele.fr/contact,Voir le plan,['pj'],7
Antoine Demacon,https://antoine.world/contact,hello@antoine.world,J’ai la solution à vos besoins en design ou conception de sites web. Du simple site vitrine avec Wordpress au site e-commerce avec Woocommerce ou Prestashop.,https://antoine.world/contact,Voir le plan,['pj'],7
2FCI,https://2fci.com/,contact@2fci.com,"2FCI vous permet d'avoir une identité visuelle forte, un site internet sur-mesure et un référencement optimisé, boostant ainsi votre présence sur internet.",https://2fci.com/contact,Voir le plan,['pj'],7
Hello Pomelo,https://hello-pomelo.com/agence-de-developpement-web-a-bordeaux/,contact@hello-pomelo.com,Votre agence de développement web à Bordeaux Hello Pomelo vous accompagne dans vos projets de création d'application web et mobile,https://hello-pomelo.com/a-propos,Voir le plan,['pj'],7
Log'in Line,https://www.loginline.com/,infra@loginline.com,Log'in Line est l'équipe infra des startups sans équipe infra,,Voir le plan,['pj'],6
WeBridge,https://www.bridge33.fr/,francis.vesseron@wanadoo.fr,"Francis Vesseron, moniteur de bridge à Bordeaux, organisme de formation, cours de bridge, initiation ou perfectionnement, mooc compétition, stage de bridge pendant les vacances scolaires, enchères et jeu de la carte",,Voir le plan,['pj'],6
Frame Solutions,https://www.framesolutions.fr/,,"Agence de référencement local à Bordeaux spécialisée dans la création, refonte et référencement de sites pour les professionnels. Augmentez votre visibilité locale et recevez plus de devis !",https://www.framesolutions.fr/contact,Voir le plan,['pj'],5
Omega Connect,https://www.omega-connect.com/,,"Nous accompagnons les entreprises dans l’externalisation de la Relation client, la collecte et le Traitement de données, la qualification et l’enrichissement de fichiers.",https://www.omega-connect.com/contact,Voir le plan,['pj'],5
Aropixel,https://www.aropixel.com/,,"À Bordeaux, Aropixel est votre expert en création de sites web sur mesure et développement d'applications métier sous Symfony. Découvrez également nos solutions dédiées aux la billetteries en ligne.",https://www.aropixel.com/contact,Voir le plan,['pj'],5
WúGraphisme,https://wugraphisme.com/contact-laure-joyeux-webdesigner-graphiste/,,Un site de webdesign et de graphisme,https://wugraphisme.com/contact,Voir le plan,['pj'],5
Agence Thrive,https://agencethrive.fr/,,Agence THRIVE est une équipe passionnée par le digital et la stratégie d'entreprise. Nous apportons une vision neuve et unique à vos projets.,https://agencethrive.fr/contact,Voir le plan,['pj'],5
Six Design,https://sixdesign.fr/,,"Agence web spécialisée en création de logos, développement de sites internet et optimisation du référencement naturel",https://sixdesign.fr/contact,Voir le plan,['pj'],5
Omniscope,https://www.omniscope.fr/,,omniscope — digital future. 2024,,Voir le plan,['pj'],4
Sympozium,,,,,Voir le plan,['pj'],1
Agence GW,,,,,Voir le plan,['pj'],1
Ethiko à Bordeaux,,,,,Voir le plan,['pj'],1
Aurora Studio,,,,,Voir le plan,['pj'],1
